username,playtime,content,recommended,owned_products,found_helpful
Tiniturtle,46.2 hrs on record,"Posted: August 25
the world's first AAAA game that have less content to play than many indie game now day",推荐,264 products in account,"90 people found this review helpful
8 people found this review funny 2"
CS:GOvno,0.1 hrs on record,"Posted: August 23
Игра была одна
Игра была говна!
Конторе педарасов
Принадлежит она!

Уважаемые пассажиры нашего Пиратского лайнера ""Анальный дайвер"", просим вас пристегнуть себя к мачте, мы полным ходом направляемся на остров Рефаунда! ЙО-ХО-ХО, и бутылку Рома в жопу Юбисофт!",推荐,523 products in account,"136 people found this review helpful
44 people found this review funny 20"
𝑨𝓒𝓔,0.3 hrs on record,"Posted: August 23
Sailing ships with stamina bar
The individual who thought this was a good idea should really get a prize for that. I wouldn't even play it again if it was free. Not only this game look like a ugly version of black flag, it plays worse, although the whole game revolves around ships. What amazes me even more is that Ubisoft actually managed to add achievements on Steam for this time-wasting game. What about Valhalla, Breakpoint, Legion?",推荐,"2,244 products in account","1,001 people found this review helpful
52 people found this review funny 31"
Vex Obscura,0.3 hrs on record,"Posted: August 23
I have never refunded something so fast in my life. Why is this always online when the matchmaking doesn't even work? I personally expected it to possibly have been improved upon since it's release, but it seems like everything that has been negatively reviewed about it still stands to this day. I'm very disappointed, to be honest. Considering this is supposed to be a Triple-A title from a multi-million dollar company like Ubisoft and you can't even get in to play? There should be an option to opt out of multiplayer completely from the beginning until they can fix matchmaking, but there isn't. Been wanting another good pirate game for a while now, but this is just not it. I will personally refrain from purchasing anything from this company from here on out. I expect these kind of launch mishaps from smaller indie-developers. Not from big companies like this.",推荐,,"313 people found this review helpful
4 people found this review funny 10"
e1smurf,0.2 hrs on record,"Posted: August 23
Skull and Bones — многострадальная игра про пиратов, которую делали 11 лет!

Игра которую делали 11 лет наконец-то добралась и до Steam. Не знаю в каком месте это , но цена это просто п*дц даже с учётом скидки в -60%.

В игре о пиратах НЕТ возможности плавать в воде, и сражаться на мечах 🤯
Вся игра это 20-30% от по возможностям и геймплею.

Я однозначно не рекомендую покупать за такой конский прайс. Уж лучше поиграть в старенький или .",推荐,590 products in account,"147 people found this review helpful
8 people found this review funny 6"
Black Horse,20.6 hrs on record,"Posted: August 24
It's a decent game at best. Wouldn't spend money on it, nor buy it for no more than 30 bucks or less just because of Ubisoft alone.

The Storyline is about as interesting as watching cake bake in an oven, but not enough for me to simply go through each cutscene. Your word choices DO NOT matter, the outcome is the same no matter what.

This is an always online game, so of course it plays like a mobile arcade game, which is pretty lazy for how many titles Ubisoft has to offer. If you like Ship Combat games, I suppose this is a good game for them. There is no on the ground combat, or Ship-Boarding combat AT ALL. If that is what you were looking for, avoid this game like the plague.

Overall, this game is not a total failure in regards of making a game, but when it comes to comparing the previous titles with greater ship combat and aspects (AC III, AC IV:Black Flag), it falls short on expectations so much that I could hardly recommend this game for anyone, especially at full price.",推荐,,"111 people found this review helpful
4 people found this review funny 5"
dogsama狗哥,2.1 hrs on record,"Posted: August 27
《碧海黑帆》是育碧开发的一款主打海战与海盗扮演体验的角色扮演游戏，游戏中玩家需要扮演一名海盗在印度洋与其他玩家合作或者对抗，并通过完成各种地标活动获取各式各样的资源与养成素材。

《碧海黑帆》项目立项已久，并且育碧也投入了很多资源进行宣发，可是游戏却一而再再而三的跳票足足七次之多，上一个这样跳票的游戏还是幻之游戏《丝之歌》

欢迎关注网易UU鉴赏家培养计划
关注UU加速器VX公众号，回复“steam”，获得专属玩家群邀请。

终于今年二月《碧海黑帆》登陆了育碧自家平台，并于今年八月登录了steam。


在游戏内容与游玩体验方面，在游戏发售后不久，口碑就已经被爆破了，而实际游玩后，我也只能说《碧海黑帆》只能是的《盗贼之海》的代餐，而且是劣质的那种。

首先说说《碧海黑帆》，这款游戏我认为绝对是育碧寄予厚望的项目，首先在好多年前育碧就想做属于自己的海盗游戏。

当年《刺客信条4》大火，而游戏中的海战内容与海盗文化的浪漫着实让玩家为之着迷，于是不久后育碧就公布了一款脱胎于《AC4》的移动端海战游戏，我记得当年很多宣传内容都是有意无意的去碰瓷自家的《AC4》

但是这款游戏反向非常一般，没翻起什么风浪，于是这个类型的游戏在育碧这边就完全沉寂了。

直到2022年育碧宣布了《碧海黑帆》项目，而不出所料这款游戏也是脱胎于《AC》，甚至每次宣传都要带上一句：这游戏是做AC海战的制作组主导开发的。

终于到了游戏发售，大家满怀期待的进入游戏，可是游戏的品质的确是存在一些问题。首先说说游戏内容的一些问题。

游戏内容上来说，我们扮演的并不是海盗本身，而是扮演的一艘船，这点可能让很多玩家接受不能，因为据我所知买这款游戏的玩家很大一部分其实是想去体验海盗模拟这一块的。

之后就是游戏的气质，这款游戏确实是育碧气质，一打开就知道是育碧的游戏，因为开放世界里的地标事件实在是让人太熟悉了。

除此以外，其余的游戏内容就凸显了一个内容不足，更具体的说就是野心远远大于实力了。

首先育碧的游戏往往会提供巨量的自定义内容，比如《全境封锁》中那样，提供了巨量的外观内容。

而碧海黑帆也是如此，从船长到船上养的宠物，再到海盗船本身，都有很多的自定义外观，但是这也让玩家直观的体会到了另一个问题：好像舰船和装备(数值养成)这一块有点问题。

首先是船体种类非常少，并且可拥有的船只数量真的不像是一个这个世代正常工作室能设计出来的，到了第一赛季结束后才能拥有十艘船。

之后就是装备的问题，玩这款游戏打开一定义选项后，育碧恨不得让你把这艘船的每一个角落都个性化一番。

但是穿上能装备的涉及到数值强的的就只有三个栏位：装甲，炮台，船体陈设。这就让人很费解了，他明明自定义能做的这么好，从船身到烟花一应俱全，但是他做核心系统的时候却这么敷衍。

之后就是战斗部分了，战斗部分并没有大家期待的相互跳帮海盗混战，有的就只有两艘船摆好姿势互射，看谁先被打沉，这就是脱胎于刺客信条是吗，海战扣出来，然后给刺客要素去掉是吗。


从《碧海黑帆》的表现上来说，只能说它是一个平庸的海战游戏，甚至和海盗都不搭边，并且不是一款合格的育碧游戏，没有育碧以往游戏的质量。

而且这款游戏也能让人看出育碧工作室协同办公的一些弊端，强力工作室永远是这么强力，但是之前做边角料的工作室永远就只是做做边角料的水平了。",推荐,,54 people found this review helpful 0
see you smile,8.8 hrs on record,"Posted: August 25
扬起风帆，去看看传说中的碧海狂涛

这是一款被育碧寄以厚望，并且宣称为4A级别的海战游戏，也是我第一次接触的海战题材RPG游戏，13年就开始开发，在17年的E3初次亮相，就备受瞩目，中途经历了六次跳票，还有多次游戏总体设计的更改，可以看得出，育碧为了这款作品真的是付出了很多的心血，不过因为首发平台没有steam的原因，我也是在如今才玩到这款作品，接下来话不多说，给兄弟们讲讲本作的具体体验。

欢迎关注 网易UU鉴赏家培养计划



作为一款海战题材的RPG游戏，那么必须要有撑得起作品的故事背景来作为游戏的基调，我们故事的舞台将发生在17世纪的印度洋上，那里充斥着殖民掠夺，这些也都是真实的历史进行改编，同时也是海盗最为盛行的年代。故事的开头还挺有趣的，把引导和剧情展开结合在一起，开头教导我们如何驾驶海盗船，经过一番激烈的海战，船被击毁之后，我们侥幸活了下来，并且漂流到了圣安妮，于是一个流浪汉船长东山再起，扬名整片海域的故事就此拉开帷幕。



在游戏的玩法方面，最主要的就是PVE的海战环节，我个人的感觉是蛮爽的，总体来说有点像黑旗的海战，但是更加精美，而且战斗也更震撼，我们需要去打造出属于自己的海盗船，然后为我们的船装饰上武器和护甲，并且给船身来点内外搭配，而且这款游戏似乎为了模拟出真实海战的情景，很多细节都进行了还原，无论是扬帆起航时的风向，还是对于武器系统的设置，需要考虑到装填速度，伤害，射程，等一系列的问题，还有就是我们的海盗船能装配几门大炮，这些都需要去进行考虑。兄弟们千万不要尝试逆风前行，不然2000米的路程，需要航行十几分钟。
游戏除了PVE之外，其实还有PVP环节，我们需要更换PVP旗帜，不过游戏并不鼓励PVP，其实更加支持玩家之间相互组队去进行PVE。毕竟只有一艘海盗船算什么大海盗，三五成群在一起才足够震撼。不过要小心的就是死亡后，如果没有选择原地复活，选择去圣安妮复活的话，就需要进行跑尸，因为我们的所有货物都被遗落在大海之上，需要跑回去找到船的残骸，收集货仓。

其实让我感到最惊喜的点，就是我们扬帆起航的时候，响起的船歌，有点加勒比海盗的感觉了，谁没有一个航海梦呢，毕竟黑珍珠真正的含义，就是自由。游戏的优化方面，其实也做的挺不错的，因为我的电脑是1050TI，一开始看到最低配置要求是1060还感觉带不动，但是没想到进入后，真的是流畅运行，没有丝毫卡顿，广阔的世界，充满危险的印度洋，各种各样的凶残海盗以及充满威胁的海上奇怪生物。我的冒险之魂已经开始燃烧了，因为steam并不是首发平台，实际上当我们玩到的时候，已经是第三赛季了，先比起第一赛季的怒海狂涛和第二赛季的浩劫交响，其实第三赛季的龙之觉醒更合我胃口，充斥着中国元素，乌云密布的天空，若隐若现的中国龙，海浪和火炮的声音响起，各种海盗的呼喊声，说实话，氛围感这块拿捏了。不过剧情方面，还是有点薄弱，期待后续的更新和完善吧。


总体来说这是一款优秀的作品，育碧十年磨一剑，打造出的4A级别海战RPG游戏，它也许算不上一个满分答卷，毕竟有些地方还是有点薄弱，但是它一定算得上一款好作品，对于环境的刻画，很多细节的描述，战斗场景的震撼感，还有海盗之歌的响起，无时无刻都在告诉我，也许现在我只是一个海上的混混，但是未来，一定能成为名扬四海的大海盗，如果你对此类题材感兴趣，并且想要亲自体验一下成为海盗的感觉，那么不妨来试试这款《碧海黑帆》吧，它不会让你失望的。",推荐,952 products in account,"51 people found this review helpful
8 people found this review funny 2"
MadHatter,14.2 hrs on record,"Posted: August 25
Honestly there are elements that are ok about it, but that shouldn't be something you say about a $60 game. This should be a free to play game, AAAA my buTTTT.

The game can't decide if you are a pirate or a pirate ship, and most of the upgrading/customization is limited or behind a paywall, so again it is in free to play territory here",推荐,,"136 people found this review helpful
7 people found this review funny 8"
PARROTBOLD,0.1 hrs on record,"Posted: August 24
Couldn't download after purchasing. Once that was fixed, it wouldn't let me log into my Ubisoft Connect account (required to play). Said my age was invalid when I tried to create a new Ubisoft Connect account. Refund pending.

I tried to ignore the negative reviews. Figured $24 was low enough risk. It wasn't. Shouldn't even be listed in the store in the first place. Not the first Ubisoft game I've had refunded, but will certainly be the last.",推荐,,"263 people found this review helpful
12 people found this review funny 3"
♔龍威♔軍團長,44.3 hrs on record,"Posted: August 23
我的游戏简历，两小时游戏，登录一小时四十分，开场动画海盗基地跑两步游戏就崩溃了，重新登录一直匹配玩家，进不去，想申请退款被拒绝了。原因就是超过两小时了，紧接着就游戏玩不了，钱也没有了。没入坑的兄弟们，慎之又慎哦！！！",推荐,,"49 people found this review helpful
4 people found this review funny 0"
TwigTwig,0.3 hrs on record,"Posted: August 23
Ubisoft Connect is a human rights violation.",推荐,,"378 people found this review helpful
77 people found this review funny 31"
Deathexpulsion,0.1 hrs on record,"Posted: August 26
Product refunded

Looks fun but couldnt even play it due to Ubisoft Account/Software issues. Why its on steam while still needing other party software i will never understand.",推荐,,"119 people found this review helpful
4 people found this review funny 7"
GoatYoke59,0.7 hrs on record,"Posted: August 24
I was excited to play This Game but it reminded me how good Sea of Thieves is.

PS Don't get not fun and runs poorly",推荐,,"122 people found this review helpful
6 people found this review funny 3"
AoBaiYYDS,1.1 hrs on record,"Posted: August 23
强制联机？没人匹配不让玩游戏？那你这游戏要是一直火不起来，那是不是大家都别玩儿了？",推荐,315 products in account,"38 people found this review helpful
3 people found this review funny 1"
chaoticxspawn,0.6 hrs on record,"Posted: August 26
Product refunded

Played the beta, felt like it was an empty soulless shell with nothing but shooting cannons to entertain you. Bought it on sale recently, still a soulless shell with nothing to do but shoot cannons. Ubisoft are so disconnected from their fanbase, it's actually sad",推荐,155 products in account,"79 people found this review helpful
4 people found this review funny 3"
倒影,7.1 hrs on record,"Posted: August 26
《Skull and Bones》：扬帆起航，有野心有实力，那就做这海上霸主!
盼星星盼月亮下育碧终于带着那前所未有的海战冒险体验之作碧海黑帆登录啦，其融入了一贯的开放世界设计理念，为玩家打造了一个广阔无垠、充满未知与挑战的印度洋海域，这一次咱要做海上霸主!
欢迎关注 网易UU鉴赏家培养计划
关注UU加速器VX公众号，回复“steam”，获得专属玩家群邀请。
游戏中，玩家将扮演一位船长，与船员们一同为了诗与远方桀桀桀，驾驶着自己的战舰，在波涛汹涌的海面上与敌人交战，忙忙碌碌寻宝藏下不忘炮击船战开展掠夺工作，养成什么的哪有直接牟取硕果快，但一切还是实力至上，海贼王我当定了!这便体验刺激的海战乐趣。

初来乍到还好有他人相助，新手期间玩家也有属于自己的小船并配备好武器、船员等以期出航，待一番发育便逐步拥有更加强大的军事实力以武装，这个世界实力至上，小小虾米只能作为被掠夺的对象，发育发育还是发育吧!

海域那么大咱想去看看，安全区域玩家可肆意行驶并拾取一切资源以供己用，小岛椰子、各种材料那是应有尽有就看玩家是否愿意停泊片刻开始扫荡。一旦驶出安全区域那就要小心各方势力了，人机势力上玩家一般不主动招惹关系还算缓和，但由于任务驱使以及各种悬赏还有其所有的物资不由得令人眼红，恰逢游戏规则是弱肉强食，战斗那是一触即发。当然，船在海上漂，如何掌舵扬帆也是一门学问，游戏支持一／三两种视角，更能以航海士角度俯瞰全局，注意船只体力条的同时控制好方向以往目的地进发，玩家一定要留体力条有余地，不然一旦开展难以撤退或者规避敌人炮火，这里不要犹豫太多，射程和装填速率到位就是一个持续打击，战至一定时间亦可派遣船员勾爪安排，海上变甲板站不亦乐乎，同时船体相撞也是一大关键，只要敌方船毁那便是胜利，一场战斗下来战果颇丰也莫忘了“逃之夭夭”，否则下一个海上亡魂可能就是玩家了，失败那可基本上是无功而返还要维修船只呢～

除了海上内容多多，一旦靠岸那个补给也是不能少。人物diy，船体改造升级甚至直接更换那是应有尽有，武器、船体等哪里不行改进那里，要的是材料与金钱那就挣，一番发育下来实力自然而然就上来了，当然作为网游，游戏也加入了一系列内容，随赛季不断更迭的通行证事半功倍，有需要的话也可以安排一下，主打一手实力不足肝度来凑。

整体而言，本作带着大折扣转战至steam，虽已经缺少了一定热度，但玩法上还是相当刺激有趣，海上争霸战孰能不爱，可谓是男人的浪漫，战与不战皆看己，海上拉扯火力全开，游戏魅力尽在不言中。",推荐,"1,441 products in account","59 people found this review helpful
1 person found this review funny 0"
K Reaper,8.1 hrs on record,"Posted: August 25
扬帆，乘风破浪，战个痛快！
《碧海黑帆》终于登录蒸汽平台了，这是一款航海动作角色扮演网游。一款海盗题材的游戏，竟然跟经典潜行动作游戏<刺客信条>有着不可忽略的关系？当年<刺客信条>正统续作<刺客信条4：黑旗>以加勒比海盗时期为背景，不论是这个设定，还是游戏玩法，都深受玩家津津乐道。于是开发商计划将这一部分内容拿出来，单独做个以海盗玩法为主的游戏，也就是我们今日见到的《碧海黑帆》。
欢迎关注 网易UU鉴赏家培养计划
关注UU加速器VX公众号，回复“steam”，获得专属玩家群邀请。

《碧海黑帆》是款在线角色扮演游戏，当然游戏不止多人游玩内容，游戏也提供了单人游戏环节。由于多人游玩内容，因此需要注意，游玩本作请保持网络畅通。

就个人的游戏体验而言，登录还是比较方便的。以防万一，账号密码一定要记录到笔记本或在线文档，避免忘记。


首次打开游戏，会有一段自动播放的赛季动画，该动画制作确实精良，看着也赏心悦目（赶紧截图），只是默认状态下没有（中文）字幕，以至于对这个故事只懂了一部分。

游戏本体的开场的艺术动画，一如既往的保持着该开发商的高水准。其CG的质感和艺术性都非常印象深刻，看着就是一种享受。说实在的，得空时真应该创建一个文件夹专门收录开发商的艺术CG，这是值得的。


本作的优化还是令人满意的。该开发商的图形表现一如既往的优秀且稳定，虽然过去多数游戏被玩家们调侃为“罐头”，但是在图形表现上可深得玩家们的认可。

如果只是图形设计、图形质感优秀，有玩家或许会说这也没那么难吧，好像不少开发团队也能办到。可不禁想问一句，在保持着优秀美术的同时，还能把握住游戏性能优化呢？这样的结果当真惊人！特别是开发商在同场景，同视野内容敢于编排大量的（模型）单位的情况下，还能稳稳控制住游戏的优化，属实是谜一样的技术实力。

作为无名小卒，我们的目标就是干出一番事业。游戏最初玩家只有一艘小破船，当然这并不能难到我们，我们生来就是要干大事业的。打造更强的舰船，提升我们的影响力，扩大我们的势力，称霸海域。

本作跟“黑旗”的玩法有些不太一样，感觉更偏向于经营类，将核心体验从“人”转向了“船只”。过去是围绕玩家角色为主，玩家扮演海盗，玩家打造自己的角色，然后会参与船只对战的一系列模拟玩法。本作玩法主要是围绕打造舰队出发（角色环节的权重要低一些），在这个过程中会有其它的游戏内容，例如：执行任务、海域探索、特别事件、货物贸易和海战等玩法。

不过作为主打体验海战的游戏，如果依旧以角色打造为核心，难免与海战主题有些维和，要知道这一次玩家想体验的是海洋战斗。那么如何强化海战的体验，必然是设计最优先的考量，当前游戏内容围绕打造舰队，体验海战的玩法就是很好的出发点。

其实这两者的核心体验都没变，只是所处的视角的变了。“黑旗”的核心体验是款动作冒险游戏，海战掠夺只是所有内容中的一个环节；碧海黑帆的核心体验则是体验开放世界海战的，海盗们的目的无疑是让自己的舰队更强大（能够更好的掠夺别人），所以打造更好舰队的这这种思路没什么大问题。如果真要做成一款纯粹的“海盗模拟器”，那多少有些无聊，对于一些玩家而言，可能还会觉得有些过火了。

设计思路合理，并不表示在落实层面是完美的。本作不论想设计何种海盗体验，在海战的体验环节，一定是重中之重。遗憾本作在海洋对战环节，还是简化了些，其中一些细节不足，这也是前面为什么说本作更偏经营游戏的原因之一。像对于船只的控制，船只对战的模拟都稍微过于娱乐化了一些。而且在海洋冒险环节，最令人热血沸腾的登船战斗环节没有（一段登船动画后直接结算奖励），以及探索体验在后续同质化明显。

游戏中的PVP机制，让我想起了2000年初的网游设计思路。玩家可以自行打开或关闭PVP，开启PVP旗帜后，玩家之间可以相互掠夺，玩家默认处于一种可被其他玩家伤害的状态，当然玩家也可以伤害别人。这个设计整体是合理的，玩法不在新旧，在于合适就好。

如果在海战环节的模拟更加细节一些，个人对其的推荐度应该会更高一层。当前的游戏内容量是足够的，更何况还有大量赛季内容可供游玩。

最后感谢各位冒险者的阅读！",推荐,,31 people found this review helpful 0
Galamata,1.0 hrs on record,"Posted: August 23
They took most of the fun things from AC: Black Flag, upped the graphics a little, and called it Skull and Bones. RTS sucks; graphic was expected to be much better; combat meh; no abordage; no leaving the ship; no fun. You think you may like shooting ships, maybe. But everything else is dogwatter. They made the game online, so you can't crack it and have to buy the game even if you want to play solo. You think you can turn off PVP and play? NO. Most of the time, other players will shoot your target and completely ruin your fun. Never buy games that force you to be online, especially if the gameplay is single-player.",推荐,,"247 people found this review helpful
6 people found this review funny 14"
